epoch,loss,mean_absolute_error,mean_squared_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error,val_root_mean_squared_error
0,0.0505455918610096,0.1204456314444542,0.0505455918610096,0.224823459982872,0.004343461245298386,0.0464036725461483,0.004343461245298386,0.06590493768453598
1,0.0034756972454488277,0.04029642790555954,0.0034756972454488277,0.05895504355430603,0.0026130452752113342,0.03281287103891373,0.0026130452752113342,0.05111795291304588
2,0.0027031488716602325,0.03453725576400757,0.0027031488716602325,0.051991816610097885,0.0019377029966562986,0.026839707046747208,0.0019377029966562986,0.04401934891939163
3,0.002144645433872938,0.028813259676098824,0.002144645433872938,0.046310316771268845,0.001942035392858088,0.031007692217826843,0.001942035392858088,0.044068530201911926
4,0.0023719428572803736,0.0309353768825531,0.0023719428572803736,0.04870259389281273,0.0016984743997454643,0.025581976398825645,0.0016984743997454643,0.041212551295757294
5,0.002121645724400878,0.029316144064068794,0.002121645724400878,0.04606132581830025,0.0021392027847468853,0.03190002962946892,0.0021392027847468853,0.04625151678919792
6,0.002298610284924507,0.03150041028857231,0.002298610284924507,0.04794382303953171,0.0015595054719597101,0.02251719869673252,0.0015595054719597101,0.03949057310819626
7,0.002055719494819641,0.028348715975880623,0.002055719494819641,0.04534004256129265,0.001568348379805684,0.022559810429811478,0.001568348379805684,0.0396023765206337
8,0.0018526425119489431,0.02578034996986389,0.0018526425119489431,0.04304233193397522,0.0016428198432549834,0.024751462042331696,0.0016428198432549834,0.040531713515520096
9,0.0020451839081943035,0.02892332151532173,0.0020451839081943035,0.04522370919585228,0.002255077473819256,0.030078129842877388,0.002255077473819256,0.04748765379190445
10,0.001985860290005803,0.027630437165498734,0.001985860290005803,0.044562991708517075,0.0017235850682482123,0.026091502979397774,0.0017235850682482123,0.04151608422398567
11,0.0019971358124166727,0.027596578001976013,0.0019971358124166727,0.044689323753118515,0.001734220772050321,0.025919469073414803,0.001734220772050321,0.04164397716522217
12,0.0019871119875460863,0.02732967585325241,0.0019871119875460863,0.04457703232765198,0.0018647274700924754,0.02725408785045147,0.0018647274700924754,0.04318248853087425
13,0.0019072334980592132,0.026555191725492477,0.0019072334980592132,0.04367188364267349,0.001452371827326715,0.020853400230407715,0.001452371827326715,0.03810999542474747
14,0.0018518224824219942,0.025325752794742584,0.0018518224824219942,0.04303280636668205,0.00191513542085886,0.02874581702053547,0.00191513542085886,0.04376225918531418
15,0.002305564470589161,0.030935272574424744,0.002305564470589161,0.048016294836997986,0.0014886473072692752,0.022602450102567673,0.0014886473072692752,0.03858299180865288
16,0.002013019286096096,0.027394142001867294,0.002013019286096096,0.04486668482422829,0.0014890636084601283,0.02185807190835476,0.0014890636084601283,0.03858838602900505
17,0.0018991276156157255,0.025965211912989616,0.0018991276156157255,0.04357897862792015,0.002023952780291438,0.028644485399127007,0.002023952780291438,0.04498836025595665
18,0.002039119368419051,0.02817314863204956,0.002039119368419051,0.045156609266996384,0.002097005257382989,0.03325086459517479,0.002097005257382989,0.0457930713891983
19,0.001960231689736247,0.02749159187078476,0.001960231689736247,0.044274501502513885,0.001424298738129437,0.01997135952115059,0.001424298738129437,0.03773988038301468
20,0.0017950652400031686,0.024244941771030426,0.0017950652400031686,0.04236821085214615,0.0016408668598160148,0.023664729669690132,0.0016408668598160148,0.040507614612579346
21,0.0018892509397119284,0.02560613676905632,0.0018892509397119284,0.0434655137360096,0.0016133618773892522,0.023383259773254395,0.0016133618773892522,0.04016667604446411
22,0.0018479455029591918,0.02571628801524639,0.0018479455029591918,0.04298773407936096,0.0014105887385085225,0.01992124319076538,0.0014105887385085225,0.037557803094387054
23,0.0019323211163282394,0.026341792196035385,0.0019323211163282394,0.04395817592740059,0.002554813865572214,0.03395212069153786,0.002554813865572214,0.05054516717791557
24,0.0019279411062598228,0.026654329150915146,0.0019279411062598228,0.04390832409262657,0.0015824688598513603,0.022648939862847328,0.0015824688598513603,0.039780259132385254
25,0.0017486877040937543,0.02375713922083378,0.0017486877040937543,0.0418173111975193,0.001618364593014121,0.021645475178956985,0.001618364593014121,0.04022890329360962
26,0.0020219876896589994,0.0278143510222435,0.0020219876896589994,0.04496651515364647,0.001769608468748629,0.028267979621887207,0.001769608468748629,0.04206671565771103
27,0.002108967863023281,0.028373831883072853,0.002108967863023281,0.04592350125312805,0.002949560061097145,0.04224960878491402,0.002949560061097145,0.05430985242128372
28,0.0018942516762763262,0.026244018226861954,0.0018942516762763262,0.04352300241589546,0.001604250748641789,0.02245751954615116,0.001604250748641789,0.040053099393844604
29,0.001853815745562315,0.025522468611598015,0.001853815745562315,0.04305595904588699,0.0014773632865399122,0.02173859439790249,0.0014773632865399122,0.03843648359179497
30,0.0017398856580257416,0.023696091026067734,0.0017398856580257416,0.04171193391084671,0.0013824512716382742,0.019606376066803932,0.0013824512716382742,0.03718132898211479
31,0.0018908813362941146,0.02602648176252842,0.0018908813362941146,0.043484266847372055,0.002349425107240677,0.0299726203083992,0.002349425107240677,0.0484708696603775
32,0.0018072542734444141,0.024873580783605576,0.0018072542734444141,0.04251181334257126,0.0016905289376154542,0.024145761504769325,0.0016905289376154542,0.04111604019999504
33,0.0018789984751492739,0.026188723742961884,0.0018789984751492739,0.04334741458296776,0.0014708254020661116,0.02186516486108303,0.0014708254020661116,0.03835134208202362
34,0.0017372914589941502,0.023985648527741432,0.0017372914589941502,0.04168082773685455,0.001747296191751957,0.022148266434669495,0.001747296191751957,0.04180067032575607
35,0.0018059051362797618,0.025027625262737274,0.0018059051362797618,0.04249593988060951,0.002336591947823763,0.03227216750383377,0.002336591947823763,0.048338308930397034
36,0.0017661468591541052,0.024924471974372864,0.0017661468591541052,0.042025551199913025,0.0015262161614373326,0.020461153239011765,0.0015262161614373326,0.03906681388616562
37,0.0019305918831378222,0.02638562209904194,0.0019305918831378222,0.04393849894404411,0.0016239741817116737,0.02493692934513092,0.0016239741817116737,0.04029856249690056
38,0.0020195036195218563,0.02755660004913807,0.0020195036195218563,0.04493888467550278,0.0017035567434504628,0.0225096233189106,0.0017035567434504628,0.041274163872003555
39,0.0018516507698222995,0.02527114376425743,0.0018516507698222995,0.04303080961108208,0.001676747458986938,0.02334907092154026,0.001676747458986938,0.040948107838630676
40,0.001830001245252788,0.025456197559833527,0.001830001245252788,0.042778514325618744,0.0017798334592953324,0.025590935721993446,0.0017798334592953324,0.042188070714473724
41,0.0017904351698234677,0.02409309707581997,0.0017904351698234677,0.04231353476643562,0.0015107570216059685,0.022009626030921936,0.0015107570216059685,0.038868457078933716
42,0.0018326293211430311,0.02533712424337864,0.0018326293211430311,0.04280921444296837,0.0016446124063804746,0.02374882437288761,0.0016446124063804746,0.04055381938815117
43,0.0019110472640022635,0.025912269949913025,0.0019110472640022635,0.043715525418519974,0.0014577769907191396,0.020628180354833603,0.0014577769907191396,0.038180846720933914
44,0.001667790929786861,0.02272055111825466,0.001667790929786861,0.04083859547972679,0.0014200365403667092,0.019781598821282387,0.0014200365403667092,0.03768337145447731
45,0.0016855413559824228,0.02275935932993889,0.0016855413559824228,0.0410553440451622,0.0014424906112253666,0.019944937899708748,0.0014424906112253666,0.03798013553023338
46,0.001695640617981553,0.023070815950632095,0.001695640617981553,0.041178155690431595,0.0014718694146722555,0.02069227769970894,0.0014718694146722555,0.0383649505674839
47,0.001718507264740765,0.023058701306581497,0.001718507264740765,0.04145488142967224,0.0013792290119454265,0.019529541954398155,0.0013792290119454265,0.037137970328330994
48,0.0017980459379032254,0.02506040409207344,0.0017980459379032254,0.04240337014198303,0.0019931932911276817,0.02832833305001259,0.0019931932911276817,0.044645193964242935
49,0.0018272961024194956,0.024538950994610786,0.0018272961024194956,0.042746882885694504,0.0013899430632591248,0.019714295864105225,0.0013899430632591248,0.03728193789720535
50,0.001732079079374671,0.023891085758805275,0.001732079079374671,0.04161825403571129,0.001602501724846661,0.023391161113977432,0.001602501724846661,0.040031254291534424
51,0.0017630156362429261,0.024220239371061325,0.0017630156362429261,0.04198827967047691,0.0016190592432394624,0.02392742969095707,0.0016190592432394624,0.040237534791231155
52,0.0017484320560470223,0.023771166801452637,0.0017484320560470223,0.041814256459474564,0.0017060163663700223,0.02352200448513031,0.0017060163663700223,0.04130395129323006
53,0.0017377397743985057,0.023785408586263657,0.0017377397743985057,0.04168620705604553,0.0014966621529310942,0.02086923085153103,0.0014966621529310942,0.03868671879172325
54,0.0017952363705262542,0.024259984493255615,0.0017952363705262542,0.042370229959487915,0.0016219374956563115,0.02255513146519661,0.0016219374956563115,0.040273282676935196
